2.747538,	-0.001273,	1.338553,	-1.911517,	-0.372783,	-2.255911,	
-1.878716,	-0.000320,	-9.590643,	-1.429434,	-5.252468,	-3.019737,	
0.712952,	-0.000346,	10.499241,	-1.397299,	8.091508,	-7.516159,	
-1.856055,	-0.000027,	10.336657,	-2.719693,	4.982957,	-1.317591,	
1.448937,	-0.005036,	8.332484,	-5.264121,	4.503620,	-5.789051,	
-0.183057,	-0.001472,	-13.987657,	-8.380935,	-5.563090,	-2.909309,	
-1.031341,	-0.004988,	8.462217,	-4.293317,	6.170631,	-7.489344,	
2.355563,	-0.003365,	-5.090223,	-2.482519,	-4.575284,	-5.726564,	
-2.561219,	-0.004018,	-6.081553,	-0.437398,	-4.942150,	-4.559387,	
0.729301,	-0.007875,	-5.751265,	-9.637685,	0.953391,	-10.343547,	
-2.527886,	-0.002573,	-3.681970,	-2.713932,	-4.419973,	-6.320782,	
0.392834,	-0.005865,	10.616825,	-0.181061,	9.371296,	-8.817337,	
-1.344512,	-0.001538,	9.566357,	-4.236584,	5.399322,	-5.456057,	
2.102525,	-0.002842,	-7.769418,	-1.679373,	-4.955655,	-4.204140,	
-1.934209,	-0.000054,	-6.061172,	-4.484068,	-4.085479,	-5.936110,	
1.724177,	-0.003427,	5.089723,	-7.091462,	2.015719,	-6.776676,	
1.027524,	-0.007241,	-3.103486,	-9.125295,	0.895295,	-9.582547,	
-0.589951,	-0.001707,	-5.207092,	-9.625409,	2.141149,	-11.406665,	
2.318926,	-0.001763,	-7.546987,	-0.319783,	-5.057026,	-3.766452,	
-1.997367,	-0.001249,	-5.045383,	-4.759314,	-3.830655,	-6.339895,	
1.841254,	-0.001704,	4.339773,	-7.166264,	1.251925,	-6.829730,	
0.747615,	-0.009367,	-2.092980,	-8.959370,	3.003328,	-11.142526,	
-2.654464,	-0.003904,	-2.192622,	-3.351376,	-4.211590,	-7.065352,	
0.337873,	-0.005290,	-11.813198,	-10.001261,	-2.151489,	-7.975215,	
0.374926,	-0.002367,	7.250292,	-3.266892,	9.058034,	-11.687834,	
-0.608431,	-0.002001,	-11.285033,	-9.532108,	-2.606083,	-7.390721,	
-1.136604,	-0.005201,	8.929211,	-4.506673,	5.962642,	-7.043121,	
0.561166,	-0.003556,	10.214074,	-1.207518,	8.732857,	-8.584489,	
-0.038410,	-0.010160,	9.260621,	-0.875748,	10.127939,	-10.999646,	
-1.046478,	-0.000280,	11.195461,	-1.480574,	6.824537,	-4.898748,	
2.308233,	-0.003496,	2.254872,	-5.961599,	-1.145466,	-6.734761,	
0.459135,	-0.012664,	-2.019213,	-8.542722,	4.633194,	-12.669748,	
-0.888151,	-0.001681,	-1.225165,	-8.887717,	2.745103,	-10.623038,	
-1.107599,	-0.002093,	4.871171,	-6.940766,	4.439562,	-8.932718,	
1.669736,	-0.002145,	0.518306,	-7.736430,	-0.131868,	-7.749737,	
0.075725,	-0.000906,	14.328693,	6.126295,	8.172479,	-2.022201,	
-1.716442,	-0.007501,	0.636139,	-7.757111,	-0.218095,	-7.787144,	
1.182837,	-0.005260,	4.871115,	-6.975007,	4.018034,	-8.475446,	
0.841302,	-0.007761,	-1.332476,	-8.778195,	2.857167,	-10.665887,	
0.174751,	-0.005870,	8.981037,	-1.324590,	9.962579,	-11.125101,	
-2.027261,	-0.006275,	-0.438430,	-6.549611,	-1.816140,	-7.339880,	
1.902557,	-0.002354,	2.854406,	-7.233274,	0.254893,	-7.149686,	
-0.774181,	-0.005416,	1.549393,	-7.776377,	4.812568,	-11.235506,	
0.289215,	-0.006999,	2.413973,	-6.165673,	7.658561,	-13.490691,	
0.447606,	-0.012590,	0.552434,	-7.426116,	6.018795,	-12.818748,	
-1.813416,	-0.002066,	3.299658,	-7.343876,	0.797661,	-7.153841,	
1.973578,	-0.002825,	-0.831066,	-6.491359,	-1.839390,	-7.217140,	
-1.227407,	-0.001587,	9.410074,	-4.020999,	5.711527,	-5.952492,	
2.824011,	-0.000105,	3.676087,	-5.128184,	-1.089635,	-6.163365,	
0.407949,	-0.000165,	-5.295478,	-9.518605,	2.973074,	-12.247504,	
-0.009379,	-0.012082,	-7.686759,	-10.010966,	2.324153,	-12.335111,	
-0.476825,	-0.003432,	-4.796526,	-9.544885,	3.062188,	-12.270313,	
2.173868,	-0.001096,	-8.506539,	-0.369744,	-5.196830,	-3.321944,	
-1.866649,	-0.004038,	-5.324605,	-5.565562,	-3.612375,	-6.604811,	
0.823799,	-0.008933,	6.394249,	-5.302606,	6.438560,	-9.634838,	
1.505494,	-0.003195,	-6.624540,	-7.021720,	-3.100330,	-6.829288,	
-0.643406,	-0.001553,	-3.559681,	-9.344097,	2.889260,	-11.658358,	
-3.145589,	-0.004193,	-3.363785,	-1.636774,	-5.000558,	-6.637332,	
0.626423,	-0.002293,	-3.485298,	-9.291140,	2.993768,	-11.712450,	
2.344368,	-0.000737,	-5.972091,	-2.098575,	-4.923244,	-5.541015,	
-2.380782,	-0.004470,	-6.158787,	-1.693335,	-4.986865,	-5.289803,	
-0.915746,	-0.007056,	-1.112412,	-8.951867,	2.707084,	-10.616127,	
-1.041529,	-0.005108,	4.806338,	-6.917980,	4.785498,	-9.355250,	
1.620544,	-0.002649,	0.964945,	-7.951319,	0.274633,	-7.936936,	
-2.556573,	-0.005574,	-2.473889,	-3.642504,	-4.197734,	-7.129187,	
3.089542,	-0.005876,	4.607381,	-5.511472,	-0.896307,	-6.406824,	
-1.434560,	-0.001076,	10.522773,	-3.914615,	5.581594,	-4.678629,	
0.437030,	-0.002305,	11.632004,	0.478256,	9.483489,	-8.104632,	
-0.780044,	-0.005400,	9.444585,	-3.129918,	7.843863,	-8.735694,	
-0.720396,	-0.005149,	9.169540,	-2.995249,	7.993085,	-9.029477,	
-1.221911,	-0.002335,	12.466025,	-0.138463,	6.650424,	-2.426501,	
1.096530,	-0.002377,	12.418564,	0.005566,	6.923311,	-3.141562,	
-2.382834,	-0.002000,	8.677868,	-4.756787,	3.546543,	-2.187978,	
2.526805,	-0.001052,	8.303270,	-4.289163,	3.602091,	-1.344446,	
1.786707,	-0.000575,	-10.618765,	-0.580414,	-5.498567,	-1.761502,	
-1.626818,	-0.002770,	-6.028429,	-6.712960,	-3.197398,	-6.883147,	
-0.386094,	-0.008763,	5.809678,	-4.340228,	8.667916,	-12.398365,	
1.755771,	-0.003995,	-5.797712,	-5.890111,	-3.514078,	-6.550223,	
-2.010781,	-0.000878,	-9.168119,	-0.743765,	-5.213273,	-2.960090,	
-2.180864,	-0.001454,	9.228537,	-4.040589,	4.135024,	-1.676472,	
-1.300643,	-0.001850,	10.890828,	-2.579445,	6.008765,	-4.193768,	
-0.003490,	-0.005333,	-4.751407,	-9.208763,	4.457325,	-13.666081,	
-2.222316,	-0.000909,	0.885045,	-6.212741,	-1.762130,	-7.280015,	
0.489790,	-0.003140,	-11.700312,	-9.728477,	-2.557350,	-7.475580,	
-0.594855,	-0.007389,	7.743400,	-3.631953,	8.236286,	-10.487408,	
0.523930,	-0.002856,	-8.641521,	-10.107487,	0.076366,	-10.173500,	
-0.545574,	-0.004921,	-8.859559,	-10.166009,	-0.113444,	-10.068745,	
-0.414306,	-0.009978,	8.094937,	-2.799528,	9.238878,	-11.293446,	
-0.599248,	-0.008090,	-3.280218,	-9.332327,	3.409388,	-12.163127,	
-3.113537,	-0.001934,	-3.494025,	-1.735572,	-5.224120,	-6.957343,	
0.880449,	-0.004604,	-4.955211,	-9.677815,	0.733744,	-10.142457,	
-2.618997,	-0.001515,	-4.384151,	-2.168122,	-5.007222,	-6.503222,	
0.212440,	-0.010439,	-4.020750,	-9.212474,	4.732628,	-13.828042,	
2.440977,	-0.001730,	0.054047,	-5.539992,	-2.961381,	-7.807107,	
-1.687526,	-0.006925,	2.558051,	-8.248634,	0.832059,	-8.157453,	
1.349811,	-0.006056,	4.808873,	-7.667056,	3.297032,	-8.370241,	
0.785218,	-0.004728,	-1.246417,	-9.033371,	3.397714,	-11.424966,	
0.446232,	-0.006622,	10.767910,	-0.660375,	9.536158,	-9.235307,	
0.359591,	-0.001130,	9.767711,	-1.293982,	9.762299,	-10.428006,	
0.341593,	-0.008715,	10.154143,	-0.834742,	9.785660,	-10.026090,	
-1.195905,	-0.000713,	11.607325,	-1.989329,	6.613524,	-4.415400,	
-0.702443,	-0.003449,	10.291223,	-1.939304,	8.327810,	-8.314154,	
1.910241,	-0.002472,	6.311388,	-7.022278,	2.096265,	-6.319414,	
1.331626,	-0.000170,	-10.000907,	-6.626361,	-4.337665,	-5.599500,	
-1.270417,	-0.000522,	-12.519350,	-4.077832,	-5.915178,	-2.324681,	
-0.802620,	-0.006793,	7.561396,	-4.692616,	7.179947,	-9.716384,	
-1.291338,	-0.003346,	-8.702972,	-7.734116,	-3.404954,	-6.783964,	
-2.285581,	-0.002163,	4.400672,	-6.757775,	-0.011254,	-6.765133,	
3.106853,	-0.003754,	6.733725,	-5.676444,	1.058990,	-4.617963,	
2.322061,	-0.005313,	-6.292185,	-2.322922,	-5.158750,	-5.864075,	
-2.379907,	-0.000504,	-6.661484,	-1.613144,	-5.300864,	-5.447397,	
0.024359,	-0.013779,	-3.231896,	-8.922320,	5.675684,	-14.593877,	
2.661903,	-0.002418,	-3.755605,	-2.735536,	-5.107678,	-7.272438,	
0.264813,	-0.006610,	-12.347835,	-10.267175,	-2.291804,	-8.059273,	
-1.012268,	-0.001660,	8.799730,	-4.633271,	6.556316,	-8.116942,	
-2.253202,	-0.003110,	0.035494,	-6.275747,	-2.433937,	-7.804858,	
2.210529,	-0.004883,	1.608505,	-6.784079,	-1.505855,	-7.688934,	
-0.726525,	-0.011421,	1.131071,	-8.167092,	5.103323,	-12.020229,	
-0.025878,	-0.010834,	2.469904,	-6.137444,	8.604706,	-14.741176,	
0.739241,	-0.000262,	1.144751,	-8.044857,	4.874477,	-11.646136,	
-2.273800,	-0.002722,	1.387474,	-6.467027,	-1.754326,	-7.597572,	
2.189856,	-0.002471,	-5.553426,	-3.715413,	-4.646039,	-6.420709,	
-2.439339,	-0.004622,	-7.348475,	-0.504934,	-5.438475,	-4.640321,	
0.886631,	-0.002916,	-9.917538,	-9.354157,	-2.511310,	-7.772625,	
-0.217365,	-0.003557,	7.484440,	-2.975460,	9.944435,	-12.693460,	
-0.357822,	-0.000525,	-11.643161,	-10.297450,	-1.778495,	-8.631275,	
-2.341607,	-0.001154,	-2.148612,	-4.960129,	-3.694769,	-7.531275,	
2.312114,	-0.002094,	-3.740574,	-4.264869,	-4.297872,	-7.173682,	
-1.473076,	-0.007171,	-3.156951,	-8.579631,	-1.135561,	-8.460739,	
-0.754544,	-0.004278,	5.629696,	-5.847598,	6.763113,	-10.794868,	
1.799197,	-0.004996,	-1.285769,	-7.514036,	-1.553368,	-7.873304,	
0.034562,	-0.006122,	-8.243868,	-10.296112,	2.040349,	-12.334772,	
-2.268895,	-0.002992,	-2.387685,	-5.089534,	-3.552248,	-7.364635,	
2.281918,	-0.006839,	-0.859692,	-5.679451,	-2.932504,	-7.608599,	
-0.886081,	-0.001676,	9.221874,	-3.603798,	7.198482,	-8.165831,	
-0.687734,	-0.005170,	12.212652,	0.477377,	8.471503,	-6.096149,	
1.207833,	-0.000704,	12.839591,	1.599132,	6.547598,	-0.721256,	
-0.090862,	-0.000986,	-4.130850,	-9.159406,	4.951696,	-14.091116,	
-1.317260,	-0.000450,	9.328720,	-4.819935,	5.441675,	-6.187233,	
-0.638002,	-0.003549,	11.085941,	-0.721217,	8.633523,	-7.674618,	
-0.978774,	-0.004150,	0.366925,	-8.678888,	3.110235,	-10.425221,	
-0.250912,	-0.010113,	3.267857,	-5.728832,	8.356165,	-13.843902,	
1.147245,	-0.004004,	1.001155,	-8.446295,	2.421792,	-9.432805,	
0.155900,	-0.001195,	11.592013,	1.230425,	10.128822,	-8.773670,	
1.977530,	-0.000079,	-8.963928,	-1.663072,	-5.219598,	-3.728388,	
-1.803156,	-0.006140,	-6.447428,	-5.411936,	-3.929489,	-6.293298,	
0.442029,	-0.011743,	6.163116,	-4.270710,	8.389515,	-11.811207,	
1.587337,	-0.001371,	-7.668684,	-6.001450,	-3.888710,	-6.071099,	
-1.676998,	-0.000189,	-10.379932,	-2.528529,	-5.353716,	-3.095031,	
2.227130,	-0.005697,	-2.251507,	-5.109540,	-3.324317,	-7.153063,	
-0.006245,	-0.011329,	-9.033672,	-10.281516,	1.247679,	-11.529179,	
-2.285170,	-0.005931,	-2.344964,	-4.832478,	-3.481570,	-7.097768,	
2.674114,	-0.001526,	-3.061204,	-2.792378,	-4.622797,	-6.922357,	
-2.515627,	-0.000593,	8.113120,	-4.967265,	3.043108,	-2.502194,	
2.400351,	-0.000602,	8.085871,	-4.956598,	3.042475,	-2.711138,	
3.029957,	-0.000862,	3.336159,	-5.105016,	-1.716590,	-6.811085,	
2.121423,	-0.000569,	-7.772538,	-2.034346,	-5.121271,	-4.716389,	
-1.998615,	-0.000342,	-6.497086,	-4.095625,	-4.482749,	-5.954065,	
1.638956,	-0.000429,	6.239084,	-7.017731,	2.885839,	-6.819950,	
1.364264,	-0.007196,	-6.391509,	-8.077046,	-2.443968,	-7.593095,	
0.143217,	-0.013784,	-3.297300,	-8.903314,	5.365341,	-14.202664,	
-0.601813,	-0.003596,	12.484832,	0.966510,	8.872238,	-6.364982,	
0.520498,	-0.004061,	13.400989,	2.774240,	8.793955,	-4.837324,	
-0.199605,	-0.003563,	13.941182,	4.427320,	9.247781,	-4.643321,	
2.975631,	-0.003716,	1.693335,	-4.759311,	-2.927095,	-7.647965,	
0.603026,	-0.003795,	-13.428976,	-8.407300,	-4.922047,	-4.364010,	
-2.733623,	-0.004874,	2.950587,	-5.567592,	-1.851233,	-7.263290,	
2.471423,	-0.006610,	1.685094,	-5.825678,	-2.105610,	-7.484487,	
0.882424,	-0.004290,	-3.451460,	-9.560918,	1.618542,	-10.583775,	
-0.929167,	-0.004781,	-3.209405,	-9.584241,	1.565730,	-10.527320,	
-2.261544,	-0.003568,	3.012899,	-6.786279,	-0.808745,	-7.299314,	
-1.869393,	-0.000545,	8.892399,	-5.705008,	3.771140,	-4.597580,	
-0.380746,	-0.007638,	-9.757716,	-10.384457,	-0.077433,	-10.312351,	
-0.789396,	-0.000032,	-2.577814,	-9.431976,	2.702919,	-11.335634,	
-2.217926,	-0.001868,	2.979598,	-6.889008,	-0.710184,	-7.316117,	
-1.382059,	-0.004733,	-7.919852,	-7.646747,	-3.285549,	-7.015048,	
-1.930068,	-0.000697,	5.904098,	-7.261135,	1.788046,	-6.633639,	
-0.970148,	-0.001368,	-9.138392,	-9.246645,	-2.323570,	-7.930794,	
2.530455,	-0.002598,	-7.158177,	-0.172345,	-5.501622,	-4.686339,	
-2.268694,	-0.005877,	-5.325198,	-3.378686,	-4.696729,	-6.375641,	
1.116342,	-0.004741,	9.376972,	-4.351806,	6.222280,	-7.056676,	
-0.721622,	-0.005886,	-0.105451,	-8.599612,	4.462519,	-11.967078,	
-0.721328,	-0.000709,	3.806141,	-6.814933,	6.219070,	-11.487926,	
1.236012,	-0.005943,	2.141598,	-8.345776,	2.551468,	-9.169763,	
2.605703,	-0.003179,	-7.701044,	1.173822,	-5.318152,	-3.407412,	
-2.079162,	-0.006224,	-4.305253,	-5.042807,	-3.807155,	-6.875204,	
1.658339,	-0.004608,	5.922421,	-7.178362,	2.642118,	-6.935232,	
1.312474,	-0.004677,	-5.201428,	-8.625884,	-1.567810,	-8.232466,	
0.305496,	-0.003512,	-3.021357,	-8.937353,	5.027698,	-13.726918,	
1.444500,	-0.000797,	10.101538,	-4.334980,	5.364095,	-5.006403,	
0.943579,	-0.000542,	8.787237,	-4.159218,	6.778958,	-8.134773,	
0.450602,	-0.000473,	-13.231927,	-9.294580,	-4.089787,	-5.613858,	
-2.468408,	-0.005255,	5.192739,	-6.394489,	0.153739,	-6.274795,	
2.763352,	-0.000564,	7.301307,	-5.413435,	1.997729,	-3.556499,	
-0.369602,	-0.007470,	-11.157646,	-10.298948,	-1.356410,	-9.030510,	
-1.650184,	-0.000581,	-0.674951,	-8.232141,	-0.663570,	-8.284380,	
0.417703,	-0.009012,	4.787361,	-5.233718,	8.154860,	-12.657335,	
1.440907,	-0.005127,	-2.118557,	-8.571778,	-0.530050,	-8.505819,	
-0.793013,	-0.006207,	-4.360668,	-9.680080,	1.648142,	-10.843850,	
3.059029,	-0.006282,	-4.072948,	-1.336123,	-5.373976,	-6.694472,	
-1.507640,	-0.007159,	2.554963,	-8.244664,	1.570986,	-8.355039,	
1.176206,	-0.006973,	4.338066,	-7.436219,	3.849399,	-8.891226,	
0.522484,	-0.004481,	-0.733316,	-8.282267,	5.128304,	-12.714852,	
2.835190,	-0.007225,	-1.789230,	-3.221874,	-4.478911,	-7.501828,	
0.175065,	-0.003416,	-1.907220,	-8.336267,	6.104224,	-14.343522,	
-0.851427,	-0.008731,	-7.805217,	-9.760033,	-0.841512,	-9.200046,	
2.215000,	-0.002215,	-8.842308,	0.127952,	-5.353809,	-3.096816,	
-1.864806,	-0.002105,	-5.144070,	-5.870733,	-3.564358,	-6.896474,	
0.524234,	-0.003419,	6.152672,	-4.568895,	8.057441,	-11.530454,	
1.610305,	-0.000869,	-6.804680,	-6.478344,	-3.535976,	-6.621080,	
-1.738245,	-0.000834,	-10.710567,	-1.402610,	-5.547887,	-2.322697,	
-0.130451,	-0.004352,	11.687775,	1.285964,	10.249900,	-8.882552,	
-2.351806,	-0.002213,	0.126259,	-5.683386,	-2.565965,	-7.485781,	
-0.882344,	-0.002681,	12.483136,	0.239485,	7.736982,	-4.692152,	
0.878197,	-0.000754,	13.037920,	1.517424,	7.576777,	-3.316252,	
0.099652,	-0.005428,	-12.612633,	-10.082267,	-2.557840,	-7.538536,	
0.677778,	-0.001949,	7.645590,	-3.976782,	7.697230,	-9.963259,	
-0.763168,	-0.004905,	-10.986641,	-9.170967,	-2.938620,	-7.037436,	
3.136584,	-0.003072,	0.132979,	-3.906064,	-3.773064,	-7.679121,	
0.766963,	-0.000724,	-11.260590,	-9.066149,	-3.195944,	-6.766607,	
-1.220179,	-0.001285,	8.268907,	-5.426169,	5.389783,	-7.283941,	
-0.768890,	-0.007084,	-6.218074,	-9.820110,	0.601226,	-10.255151,	
2.099109,	-0.002000,	-9.438473,	0.439185,	-5.284099,	-2.233528,	
-1.756410,	-0.006767,	-4.965488,	-6.490662,	-3.109271,	-7.043786,	
0.174090,	-0.004828,	5.533086,	-4.105399,	9.279071,	-13.236349,	
1.651621,	-0.002031,	-5.756512,	-6.597932,	-3.162109,	-6.859630,	
-1.861823,	-0.001106,	-10.268029,	-0.326399,	-5.401384,	-1.870526,	
-0.508501,	-0.005475,	-0.521434,	-8.162520,	5.379730,	-12.875852,	
-1.043507,	-0.000745,	4.172313,	-7.241922,	4.479030,	-9.498618,	
1.421067,	-0.005980,	2.117508,	-8.082658,	1.654673,	-8.319698,	
-1.807447,	-0.001120,	8.686925,	-5.436855,	3.812911,	-4.547077,	
-2.304611,	-0.005859,	0.289165,	-5.718959,	-2.257679,	-7.221096,	
0.289167,	-0.008247,	9.694567,	-0.893188,	9.714299,	-10.181004,	
-1.904178,	-0.000119,	10.218762,	-2.550686,	4.957435,	-0.928972,	
1.624214,	-0.002475,	7.739882,	-5.782443,	3.714222,	-5.574953,	
-0.591182,	-0.000874,	-12.665427,	-8.488776,	-4.285476,	-4.928535,	
-1.841590,	-0.004429,	7.901473,	-5.670558,	3.319416,	-4.796804,	
-1.017356,	-0.004860,	0.068746,	-8.516165,	2.663849,	-9.927326,	
-0.233165,	-0.007989,	3.352144,	-5.452701,	8.255625,	-13.499911,	
1.189525,	-0.002975,	0.487977,	-8.286216,	1.904062,	-8.989458,	
2.262943,	-0.002903,	-0.297312,	-5.417979,	-2.369466,	-6.935441,	
2.873116,	-0.002068,	-1.074249,	-3.168606,	-3.863309,	-6.895627,	
0.650959,	-0.000050,	-3.338575,	-9.134492,	2.872730,	-11.419670,	
2.790855,	-0.001935,	2.559767,	-5.031706,	-1.942090,	-6.856848,	
0.543027,	-0.000445,	-13.948691,	-7.375544,	-6.024779,	-2.218824,	
-2.718947,	-0.004458,	2.960592,	-5.323602,	-1.608739,	-6.787826,	
-0.273600,	-0.011536,	-4.084524,	-9.176507,	4.478104,	-13.501716,	
2.460534,	-0.001646,	-5.981148,	-1.398412,	-5.068111,	-5.341109,	
-2.439590,	-0.003470,	-5.807958,	-1.646273,	-4.971276,	-5.430930,	
-1.967158,	-0.001261,	1.855193,	-7.247217,	-0.504505,	-7.441401,	
1.964099,	-0.003788,	1.807097,	-7.180711,	-0.524172,	-7.383428,	
2.376223,	-0.001864,	-6.387752,	-1.540646,	-5.074533,	-5.206573,	
-2.308900,	-0.004673,	-5.868971,	-2.414887,	-4.823553,	-5.643878,	
0.279990,	-0.001904,	10.284744,	-0.378277,	9.883308,	-9.871496,	
1.510177,	-0.001125,	8.693587,	-5.317869,	4.512869,	-5.586200,	
0.568501,	-0.005076,	-12.585206,	-8.963787,	-3.905832,	-5.683024,	
-1.919081,	-0.000387,	7.293634,	-6.373175,	2.718416,	-5.446406,	
2.076727,	-0.003699,	7.655877,	-6.152349,	2.641563,	-4.863652,	
0.634776,	-0.003299,	-11.648339,	-9.431164,	-3.006213,	-7.016442,	
-1.330614,	-0.005665,	8.377867,	-5.608698,	5.020128,	-6.830486,	
-0.668180,	-0.000744,	12.603675,	1.051906,	8.515107,	-5.635953,	
0.641667,	-0.003135,	13.194422,	2.281177,	8.353546,	-4.395132,	
1.807493,	-0.001660,	-9.994486,	-2.158349,	-5.402628,	-3.433938,	
-1.686117,	-0.000366,	-7.279261,	-5.855864,	-4.001793,	-6.314875,	
-0.327632,	-0.004044,	6.166174,	-4.071357,	9.105607,	-12.704390,	
1.781401,	-0.000250,	-7.003547,	-5.239938,	-4.140816,	-6.106595,	
-1.921101,	-0.003942,	-9.074415,	-2.219868,	-5.214479,	-3.990071,	
0.416212,	-0.004350,	-12.377971,	-9.712946,	-3.009730,	-6.965485,	
-1.369325,	-0.000121,	8.485607,	-5.570701,	4.898714,	-6.551570,	
-3.007470,	-0.001283,	4.735203,	-5.523128,	-0.724174,	-6.240673,	
-1.058060,	-0.002632,	11.883312,	-1.050204,	7.057626,	-4.528592,	
2.720885,	-0.003712,	0.732406,	-4.760438,	-3.109960,	-7.603905,	
1.120218,	-0.006823,	-6.554704,	-9.122350,	-1.452995,	-8.498529,	
0.583987,	-0.007311,	-4.958302,	-9.810173,	2.430900,	-11.828348,	
-1.377361,	-0.004370,	-1.828515,	-8.950824,	-0.035447,	-8.943858,	
-0.608451,	-0.009701,	4.960977,	-5.755704,	7.373263,	-11.846322,	
1.656497,	-0.002769,	-0.245520,	-8.118055,	-0.483280,	-8.160755,	
0.781637,	-0.000984,	8.341830,	-3.848219,	7.394006,	-9.091069,	
0.025263,	-0.003365,	-13.830014,	-9.442443,	-4.387845,	-5.056396,	
-1.134948,	-0.002512,	8.740816,	-4.773957,	5.916544,	-7.285266,	
-2.795377,	-0.001055,	6.160783,	-5.647087,	0.762484,	-4.930120,	
2.205758,	-0.001508,	7.454000,	-5.995406,	2.362595,	-4.591174,	
0.204123,	-0.001202,	-4.527131,	-9.311532,	4.405670,	-13.624660,	
-0.216397,	-0.009812,	-10.124188,	-10.461917,	0.110626,	-10.570191,	
-2.536984,	-0.006286,	-3.220780,	-3.398121,	-4.517850,	-7.098851,	
-2.676037,	-0.002033,	7.702023,	-5.570066,	2.268904,	-3.544711,	
2.460555,	-0.003720,	6.429912,	-6.161118,	1.169491,	-5.249785,	
0.320096,	-0.007413,	-5.345565,	-9.707634,	3.485399,	-13.007772,	
-0.535669,	-0.004038,	-4.219400,	-9.626029,	3.244311,	-12.422565,	
-1.074643,	-0.006263,	-6.224444,	-9.429921,	-0.952151,	-8.971418,	
-2.907499,	-0.004555,	-1.058789,	-3.659032,	-4.369928,	-7.905109,	
-0.167974,	-0.008726,	-2.480909,	-8.654218,	5.915062,	-14.494435,	
-1.552034,	-0.004064,	-4.513406,	-7.944467,	-2.166607,	-7.895018,	
-0.777592,	-0.000236,	6.062644,	-5.649086,	6.762352,	-10.469091,	
1.872816,	-0.005026,	-2.731405,	-6.799717,	-2.507837,	-7.557696,	
-1.531993,	-0.001785,	-2.857838,	-8.262993,	-1.262314,	-8.211772,	
-0.391303,	-0.002631,	5.058610,	-4.964011,	8.440259,	-12.774737,	
1.696192,	-0.004357,	-2.118376,	-7.603697,	-1.564196,	-7.806086,	
-0.884669,	-0.001481,	-4.341176,	-9.559258,	1.080663,	-10.245145,	
-2.832170,	-0.005090,	-0.699556,	-3.756261,	-3.898481,	-7.463511,	
2.892573,	-0.001874,	5.301564,	-5.615492,	-0.135206,	-5.746590,	
0.482950,	-0.005372,	12.140060,	0.943905,	9.266866,	-7.239859,	
-0.204771,	-0.007301,	11.157265,	0.567360,	10.208020,	-9.442278,	
0.455758,	-0.009163,	-10.265699,	-10.217166,	-0.943377,	-9.373922,	
-0.200438,	-0.009959,	-8.873328,	-10.352702,	1.247415,	-11.577556,	
-1.433213,	-0.000675,	-1.105165,	-8.730722,	0.049516,	-8.737547,	
-0.182959,	-0.008212,	4.292093,	-5.041301,	8.985027,	-13.889491,	
1.512039,	-0.002034,	-0.791869,	-8.372845,	-0.158850,	-8.363840,	
-0.334456,	-0.004540,	-10.713957,	-10.265262,	-0.907101,	-9.407082,	
-0.915806,	-0.004813,	-2.343184,	-9.319365,	2.074290,	-10.590825,	
-1.768324,	-0.005778,	4.744651,	-7.509195,	1.687431,	-7.187611,	
2.062171,	-0.004333,	-1.519105,	-6.234942,	-2.528414,	-7.437592,	
0.201491,	-0.004340,	-10.557817,	-10.365349,	-0.394774,	-9.978908,	
2.997702,	-0.001548,	6.114165,	-5.567556,	0.591023,	-4.982511,	
2.824888,	-0.003844,	0.473789,	-4.541110,	-3.513999,	-7.884528,	
1.162760,	-0.004901,	-9.426189,	-8.148014,	-3.374516,	-6.824175,	
-0.207753,	-0.010391,	7.158925,	-3.153780,	9.871921,	-12.834060,	
-0.941452,	-0.000825,	-9.760107,	-9.129022,	-2.650464,	-7.567154,	
2.551461,	-0.000170,	-6.762148,	-0.465469,	-5.459275,	-5.001918,	
-2.363774,	-0.005138,	-5.539136,	-2.612346,	-4.935265,	-6.110615,	
-0.736421,	-0.008208,	9.580945,	-2.741069,	8.057705,	-8.755056,	
-1.551043,	-0.000052,	11.510491,	-2.181959,	5.777984,	-2.296386,	
-0.748538,	-0.004554,	10.336326,	-1.991901,	8.091087,	-7.945136,	
-2.795280,	-0.006143,	-2.722062,	-2.792355,	-4.773886,	-7.272781,	
0.462269,	-0.000887,	-5.648698,	-9.849054,	2.636469,	-12.207762,	
-1.468787,	-0.002014,	-1.677489,	-8.664522,	-0.391012,	-8.623921,	
-0.303419,	-0.000401,	4.615508,	-5.092598,	8.701296,	-13.397467,	
1.597717,	-0.000164,	-1.035647,	-8.167312,	-0.628645,	-8.184336,	
0.226530,	-0.001820,	-9.699021,	-10.387289,	0.398221,	-10.775173,	
-0.463009,	-0.008527,	-3.027337,	-9.140469,	4.347442,	-13.046597,	
2.922525,	-0.003312,	-5.472818,	-0.338062,	-5.548728,	-5.758142,	
-0.394821,	-0.007828,	-7.228315,	-10.097186,	1.857580,	-11.817395,	
2.154005,	-0.006185,	3.713994,	-6.930059,	-0.081683,	-6.975463,	
1.019138,	-0.007044,	-3.629296,	-9.452488,	0.732236,	-9.831850,	
-1.515907,	-0.004427,	-2.157986,	-8.462986,	-0.829604,	-8.413806,	
-0.299245,	-0.002774,	4.778548,	-4.953267,	8.767423,	-13.338198,	
1.638982,	-0.007919,	-1.600949,	-7.943897,	-1.105660,	-8.027961,	
